cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round1_4	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Rhodocytophaga	Rhodocytophaga rosea	2704465
DBSCAN_round1_3	Bacteria	Cyanobacteria	unclassified	Nostocales	Nostocaceae	Nostoc	unclassified	1177
DBSCAN_round1_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unclassified	unclassified	31989
DBSCAN_round2_12	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	unclassified	unclassified	Phycisphaerales bacterium	2052180
DBSCAN_round2_9	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	unclassified	1111
DBSCAN_round2_10	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	unclassified	Phycisphaeraceae bacterium	2026777
DBSCAN_round2_11	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium	unclassified	1241326
DBSCAN_round2_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	unclassified	unclassified	69277
DBSCAN_round2_7	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Humisphaera	Humisphaera borealis	2807512
DBSCAN_round2_2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas lacunae	2698828
DBSCAN_round2_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Prosthecomicrobium	Prosthecomicrobium hirschii	665126
DBSCAN_round3_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	unclassified	374
DBSCAN_round3_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium zavarzinii	48292
DBSCAN_round3_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	Rhodospirillaceae bacterium	1898112
DBSCAN_round3_2	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Proteobacteria bacterium	1977087
DBSCAN_round4_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. OAE506	2663870
DBSCAN_round4_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Alsobacteraceae	Alsobacter	Alsobacter metallidurans	340221
DBSCAN_round4_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	unclassified	356
DBSCAN_round4_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	unclassified	85413
unclustered	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	unclassified	unclassified	563835
DBSCAN_round5_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Alsobacteraceae	Alsobacter	Alsobacter metallidurans	340221
DBSCAN_round2_8	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Frigoriglobus	Frigoriglobus tundricola	2774151
DBSCAN_round2_13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. KVB221	2801340
