cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round3_5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jeddahensis	1915074
DBSCAN_round3_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	unclassified	374
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas dokdonensis	344880
DBSCAN_round3_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. MOS003	2133946
DBSCAN_round1_1	Bacteria	Cyanobacteria	unclassified	Nostocales	Scytonemataceae	Brasilonema	unclassified	383614
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified	13687
DBSCAN_round2_4	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinobacterium	Deinobacterium chartae	521158
DBSCAN_round2_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas rosea	198092
DBSCAN_round2_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Rhizobiales bacterium	1909294
DBSCAN_round3_34	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	unclassified	41294
DBSCAN_round2_1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	unclassified	1866885
DBSCAN_round2_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	unclassified	85413
DBSCAN_round2_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. CCH5-D2	1768765
