cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round4_12	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium sp.	1871053
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia submarina	1173082
DBSCAN_round3_0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified	unclassified	76892
DBSCAN_round3_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Enterovirga	Enterovirga sp. DB1703	2730920
DBSCAN_round3_56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Geminicoccaceae	Geminicoccus	unclassified	489140
DBSCAN_round4_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Geminicoccaceae	Geminicoccus	Geminicoccus roseus	404900
DBSCAN_round2_1	Bacteria	Actinobacteria	Actinomycetia	Kineosporiales	Kineosporiaceae	Angustibacter	Angustibacter sp. Root456	1736539
DBSCAN_round1_2	Bacteria	Acidobacteria	unclassified	unclassified	unclassified	unclassified	Acidobacteria bacterium	1978231
DBSCAN_round2_15	Bacteria	Cyanobacteria	unclassified	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 7509	927677
DBSCAN_round2_12	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella	Schlegelella koreensis	2742824
unclustered	Bacteria	Actinobacteria	Actinomycetia	unclassified	unclassified	unclassified	unclassified	1760
DBSCAN_round2_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	unclassified	407
DBSCAN_round5_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Enterovirga	Enterovirga sp. DB1703	2730920
DBSCAN_round2_4	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Humisphaera	Humisphaera borealis	2807512
DBSCAN_round2_5	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Rhodocytophaga	Rhodocytophaga rosea	2704465
DBSCAN_round2_8	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	Gemmatirosa kalamazoonesis	861299
DBSCAN_round2_0	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter ginsengisoli	462367
DBSCAN_round2_6	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	unclassified	unclassified	uncultured Thermomicrobiales bacterium	1645740
DBSCAN_round2_3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter tataouinensis	94132
