cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round52_0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas fluminis	2487274
DBSCAN_round3_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer adhaerens	106592
DBSCAN_round56_0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas bacteroides	74311
DBSCAN_round3_14	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. OAS728	2663823
DBSCAN_round1_10	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Limnoglobus	Limnoglobus roseus	2598579
DBSCAN_round4_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified	41295
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	unclassified	106591
DBSCAN_round1_2	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter sp. CACIAM 22H1	1812911
DBSCAN_round2_15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aliihoeflea	Aliihoeflea sp. 2WW	1381123
DBSCAN_round1_6	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	unclassified	83618
DBSCAN_round1_5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. AOB-7	2482750
DBSCAN_round1_4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	unclassified	1434046
DBSCAN_round2_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Oceanibaculum	unclassified	659693
DBSCAN_round1_9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aliihoeflea	Aliihoeflea sp. 2WW	1381123
DBSCAN_round1_8	Bacteria	Cyanobacteria	unclassified	Synechococcales	Merismopediaceae	Merismopedia	Merismopedia glauca	292586
DBSCAN_round2_0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter sp. 34-65-8	1970335
DBSCAN_round2_1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. Z10-6	2484145
DBSCAN_round1_11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia geojensis	443610
