cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round39_0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus lacus	392610
DBSCAN_round1_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp. CS1BSMeth3	1892844
DBSCAN_round16_0	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp. S5	2017486
DBSCAN_round1_3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania sediminis	1532023
DBSCAN_round17_0	Bacteria	Actinobacteria	Actinomycetia	unclassified	unclassified	unclassified	Actinobacteria bacterium	1883427
DBSCAN_round54_0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus sp. GY_G	2292257
DBSCAN_round1_7	Bacteria	Cyanobacteria	unclassified	Nostocales	Nostocaceae	Nostoc	Nostoc calcicola	212354
DBSCAN_round1_6	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	unclassified	44249
DBSCAN_round1_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	unclassified	85413
DBSCAN_round1_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	Tabrizicola piscis	2494374
DBSCAN_round2_2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	unclassified	1434046
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	unclassified	1434046
