cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round3_84	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. 124	2135642
DBSCAN_round3_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	unclassified	31988
DBSCAN_round4_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	Rhodospirillaceae bacterium	1898112
DBSCAN_round1_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudoxanthobacter	Pseudoxanthobacter soli	433840
DBSCAN_round1_2	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Alphaproteobacteria bacterium	1913988
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	unclassified	68287
DBSCAN_round1_5	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Phycicoccus	Phycicoccus sp. MQZ13P-5	2807628
DBSCAN_round1_4	Bacteria	Cyanobacteria	unclassified	Oscillatoriales	Oscillatoriaceae	Phormidium	Phormidium tenue	126344
DBSCAN_round10_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. 124	2135642
DBSCAN_round2_1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	unclassified	165697
DBSCAN_round2_2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	unclassified	165697
DBSCAN_round2_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. Root483D2	1736545
