cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga sp. BSC39	1549810
DBSCAN_round3_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	unclassified	186650
DBSCAN_round4_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	unclassified	186650
DBSCAN_round1_3	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	Longimicrobium terrae	1639882
DBSCAN_round1_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Propylenellaceae	Propylenella	Propylenella binzhouense	2555902
DBSCAN_round1_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	unclassified	186650
DBSCAN_round1_6	Bacteria	Cyanobacteria	unclassified	Nostocales	Nostocaceae	Nostoc	unclassified	1177
DBSCAN_round1_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. DM1	2067957
DBSCAN_round2_0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. ID1715	1656898
DBSCAN_round2_2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sphingosinicella	unclassified	335405
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. DB0501	2709665
