cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round3_241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	Bauldia	Bauldia sp.	2575872
DBSCAN_round1_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	unclassified	85413
DBSCAN_round1_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	Aestuariivirga sp. YIM B02566	2800327
DBSCAN_round1_0	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Paraflavitalea	Paraflavitalea soli	2315862
DBSCAN_round1_7	Bacteria	Cyanobacteria	unclassified	Nostocales	Scytonemataceae	Brasilonema	unclassified	383614
DBSCAN_round1_6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sphingosinicella	Sphingosinicella sp. CPCC 101087	2497754
DBSCAN_round1_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	unclassified	41294
DBSCAN_round1_9	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	unclassified	1847
DBSCAN_round2_1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. H115	1759073
DBSCAN_round2_2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified	13687
DBSCAN_round1_11	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	unclassified	unclassified	uncultured Thermomicrobiales bacterium	1645740
DBSCAN_round1_10	Bacteria	Planctomycetes	unclassified	unclassified	unclassified	unclassified	Planctomycetes bacterium	2026780
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified	46913
DBSCAN_round88_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified	46913
DBSCAN_round3_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	unclassified	Hyphomicrobiaceae bacterium	2015799
DBSCAN_round3_4	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Proteobacteria bacterium	1977087
DBSCAN_round24_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	Kaistia sp. SCN 65-12	1660103
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp. CS1BSMeth3	1892844
DBSCAN_round3_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium zavarzinii	48292
DBSCAN_round3_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp. CS1BSMeth3	1892844
DBSCAN_round4_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Stella	unclassified	93
DBSCAN_round5_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified	46913
