cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium yanoikuyae	13690
DBSCAN_round1_3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas hankookensis	563996
DBSCAN_round1_2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	unclassified	12916
DBSCAN_round1_1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	unclassified	41275
DBSCAN_round1_7	Bacteria	Cyanobacteria	unclassified	Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus sp. FACHB-SPT15	2692830
DBSCAN_round1_6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas dokdonensis	344880
DBSCAN_round1_5	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	unclassified	Flammeovirgaceae bacterium 311	1257021
DBSCAN_round1_4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. 36D10-4-7	2722791
DBSCAN_round1_8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas rosea	198092
DBSCAN_round2_0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas basaltis	472166
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified	46913
