cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round48_0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium zucineum	284016
DBSCAN_round3_7	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium soli	2170551
DBSCAN_round3_1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	unclassified	174951
DBSCAN_round3_0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp. G-1-2-2	2728837
DBSCAN_round41_1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium deserti	1914756
DBSCAN_round1_11	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sphingosinicella	unclassified	335405
DBSCAN_round4_1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp. 18x22-1	2530451
DBSCAN_round1_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Gellertiella	Gellertiella hungarica	1572859
DBSCAN_round1_2	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	unclassified	Chitinophagaceae bacterium	1869212
DBSCAN_round1_0	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter tropicus	1492898
DBSCAN_round1_7	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	bacterium	1869227
DBSCAN_round1_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Enterovirga	Enterovirga sp. DB1703	2730920
DBSCAN_round1_5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	unclassified	unclassified	unclassified	204457
DBSCAN_round1_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium sp. SOG26	2060726
DBSCAN_round2_3	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium deserti	1914756
DBSCAN_round1_9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	unclassified	34072
DBSCAN_round1_8	Bacteria	Cyanobacteria	unclassified	Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus sp. FACHB-672	2692825
DBSCAN_round2_1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp. 18x22-1	2530451
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sphingosinicella	unclassified	335405
