cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round6_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	unclassified	374
DBSCAN_round7_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	Pseudorhodoplanes	Pseudorhodoplanes sinuspersici	1235591
DBSCAN_round1_1	Bacteria	Cyanobacteria	unclassified	Nostocales	Nostocaceae	Nostoc	unclassified	1177
DBSCAN_round2_4	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas fluminis	2487274
DBSCAN_round2_6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	34073
DBSCAN_round2_7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. IBVSS2	1985172
DBSCAN_round2_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. SSUT16	2773451
DBSCAN_round2_2	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	unclassified	41275
DBSCAN_round2_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseococcus	Roseococcus sp. SYP-B2431	2496640
DBSCAN_round61_2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	Porphyrobacter sp. SLTP	2683266
DBSCAN_round61_1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	Porphyrobacter sp. SLTP	2683266
DBSCAN_round9_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. Pch-S	2082387
DBSCAN_round5_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	unclassified	85413
DBSCAN_round8_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Rhizobiales bacterium	1909294
DBSCAN_round10_12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified	46913
DBSCAN_round23_0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	unclassified	unclassified	Sphingomonadales bacterium	1978525
DBSCAN_round9_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. Pch-S	2082387
DBSCAN_round9_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	unclassified	379
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	358
DBSCAN_round4_2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	unclassified	165697
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	Bradyrhizobiaceae bacterium PARB1	2015576
DBSCAN_round20_0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas pituitosa	99597
