cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round3_7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	unclassified	81
DBSCAN_round24_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia insulae	408174
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. Pch-S	2082387
DBSCAN_round3_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	Bradyrhizobiaceae bacterium PARB1	2015576
DBSCAN_round3_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	358
DBSCAN_round3_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48	1882748
DBSCAN_round4_4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	34073
DBSCAN_round4_3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	34073
DBSCAN_round4_0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	unclassified	34072
DBSCAN_round1_2	Bacteria	Cyanobacteria	unclassified	Nostocales	Nostocaceae	Nostoc	unclassified	1177
DBSCAN_round3_6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified	13687
DBSCAN_round5_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Rhizobiales bacterium	1909294
unclustered	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	34073
DBSCAN_round21_0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Rhizobiales bacterium	1909294
DBSCAN_round2_4	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Urbifossiella	Urbifossiella limnaea	2528023
DBSCAN_round2_5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	unclassified	165697
DBSCAN_round2_6	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia alni	33907
DBSCAN_round2_7	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella	Niabella yanshanensis	577386
DBSCAN_round2_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	unclassified	85413
