cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round3_1	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	Phreatobacter	Phreatobacter sp. NMCR1094	2570229
DBSCAN_round4_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified	46913
DBSCAN_round4_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium hungaricum	1566387
DBSCAN_round4_2	Bacteria	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Alphaproteobacteria bacterium 32-64-14	1970492
DBSCAN_round4_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	unclassified	379
DBSCAN_round4_0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter ramosus	35811
DBSCAN_round4_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. CRIBSB	2683264
DBSCAN_round1_2	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium iranicum	912594
unclustered	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	unclassified	374
DBSCAN_round2_1	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	unclassified	unclassified	563835
DBSCAN_round2_2	Bacteria	Cyanobacteria	unclassified	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria sp. PCC 10802	1173028
