Tip_label	Habitat
A9601_01601_Prochlorococcus_marinus_str._AS9601	aquatic
AA650_04100_Anabaena_sp._WA102_WA102	aquatic
AA650_13640_Anabaena_sp._WA102_WA102	aquatic
AM1_3670_Acaryochloris_marina_MBIC11017	aquatic
AM1_4825_Acaryochloris_marina_MBIC11017	aquatic
ANA_C13133_Anabaena_sp._90_90	aquatic
ANA_C20305_Anabaena_sp._90_90	aquatic
Aazo_2874_Nostoc_azollae_0708	aquatic
Anacy_3874_Anabaena_cylindrica_PCC_7122	aquatic
Ava_4794_Trichormus_variabilis_ATCC_29413	aquatic
CYA_0317_Synechococcus_sp._JA-3-3Ab_JA-3-3Ab	aquatic
CYB_1695_Synechococcus_sp._JA-2-3Ba2-13_JA-2-3Ba2-13	NA
Cal6303_5615_Calothrix_sp._PCC_6303	aquatic
Cal7507_3634_Calothrix_sp._PCC_7507_PCC_7507	hydroterrestrial
Chro_0493_Chroococcidiopsis_thermalis_PCC_7203	soil
Cri9333_2889_Crinalium_epipsammum_PCC_9333	
Cyagr_2891_Cyanobium_gracile_PCC_6307	NA
Cyan10605_0873_Cyanobacterium_aponinum_PCC_10605	aquatic
Cyan7425_4189_Cyanothece_sp._PCC_7425_PCC_7425	hydroterrestrial 
Cyan7425_4822_Cyanothece_sp._PCC_7425_PCC_7425	hydroterrestrial 
Cyan7822_1222_Gloeothece_verrucosa_PCC_7822	hydroterrestrial 
Cyan8802_0309_Rippkaea_orientalis_PCC_8802	hydroterrestrial 
D082_22600_Synechocystis_sp._PCC_6714_PCC_6714	aquatic
Dacsa_1460_Dactylococcopsis_salina_PCC_8305	aquatic
EW14_0185_Prochlorococcus_sp._MIT_0604_MIT_0604	aquatic
EW15_0230_Prochlorococcus_sp._MIT_0801_MIT_0801	aquatic
GEI7407_1138_Geitlerinema_sp._PCC_7407_PCC_7407	NA
GKIL_0569_Gloeobacter_kilaueensis_JS1	subaerial
GKIL_2412_Gloeobacter_kilaueensis_JS1	subaerial
Glo7428_1901_Gloeocapsa_sp._PCC_7428_PCC_7428	aquatic
GvioPCC7421_1744_Gloeobacter_violaceus_PCC_7421	subaerial
IJ00_15385_Calothrix_sp._336_3_336_3	aquatic
KME01_06190_Chroococcus_sp._CMT-3BRIN-NPC107	soil
KME02_13085_Aphanothece_saxicola_GSE-SYN-MK-01-06B	subaerial
KME03_11940_Aphanocapsa_lilacina_HA4352-LM1	subaerial
KME03_12380_Aphanocapsa_lilacina_HA4352-LM1	subaerial
KME04_20315_Pleurocapsa_minor_GSE-CHR-MK-17-07R	subaerial
KME06_01250_Kastovskya_adunca_ATA6-11-RM4	soil
KME07_10055_Pegethrix_bostrychoides_GSE-TBD4-15B	subaerial
KME07_14735_Pegethrix_bostrychoides_GSE-TBD4-15B	subaerial
KME08_21250_Aphanothece_sp._CMT-3BRIN-NPC111	soil
KME09_22830_Pleurocapsa_minor_HA4230-MV1	subaerial
KME10_10390_Plectolyngbya_sp._WJT66-NPBG17	soil
KME10_13625_Plectolyngbya_sp._WJT66-NPBG17	soil
KME11_09290_Timaviella_obliquedivisa_GSE-PSE-MK23-08B	subaerial
KME12_19820_Trichocoleus_desertorum_ATA4-8-CV12	soil
KME13_02120_Myxacorys_californica_WJT36-NPBG1	soil
KME13_06610_Myxacorys_californica_WJT36-NPBG1	soil
KME14_06385_Tildeniella_torsiva_UHER_1998_13D	NA
KME15_15035_Drouetiella_hepatica_UHER_2000_2452	subaerial
KME16_09400_Scytolyngbya_sp._HA4215-MV1	aquatic
KME17_15940_Cyanosarcina_radialis_HA8281-LM2	subaerial
KME18_06750_Oscillatoria_tanganyikae_FI6-MK23	NA
KME18_12145_Oscillatoria_tanganyikae_FI6-MK23	NA
KME19_07705_Microcoleus_vaginatus_WJT46-NPBG5	soil
KME20_14045_Kaiparowitsia_implicata_GSE-PSE-MK54-09C	subaerial
KME21_02680_Desmonostoc_vinosum_HA7617-LM4	subaerial
KME22_05970_Hassallia_sp._WJT32-NPBG1	soil
KME23_15360_Goleter_apudmare_HA4340-LM2	subaerial
KME25_16680_Symplocastrum_torsivum_CPER-KK1	soil
KME26_05045_Oscillatoria_princeps_RMCB-10	aquatic
KME27_24645_Lyngbya_sp._HA4199-MV5	soil
KME27_25865_Lyngbya_sp._HA4199-MV5	soil
KME28_18765_Pelatocladus_maniniholoensis_HA4357-MV3	subaerial
KME29_39905_Calothrix_sp._FI2-JRJ7	soil
KME30_08265_Iphinoe_sp._HA4291-MV1	soil
KME31_11650_Tolypothrix_carrinoi_HA7290-LM1	subaerial
KME32_16265_Mojavia_pulchra_JT2-VF2	soil
KME33_25200_Aetokthonos_hydrillicola_B3-Florida	aquatic 
