SPECIES,STRAIN,ASSEMBLY_ID,ASMNAME,BIOPROJECT,SRA,HABITAT,LOCATION
Aetokthonos hydrillicola,B3-Florida,GCA_016849885.1,ASM1684988v1,PRJNA617093,SRR12347192,aquatic epiphyte,"South Carolina, USA"
Aphanocapsa lilacina,HA4352-LM1,GCA_016850945.1,ASM1685094v1,PRJNA677053,SRR13206895,cave rock wall,"Hawaii, USA"
Aphanocapsa sp.,GSE-SYN-MK-11-07L,GCA_016850445.1,ASM1685044v1,PRJNA621664,SRR11678123,desert wet wall,"Utah, USA"
Aphanothece saxicola,GSE-SYN-MK-01-06B,GCA_016850295.1,ASM1685029v1,PRJNA621658,SRR11676827,desert wet wall,"Utah, USA"
Aphanothece sp.,CMT-3BRIN-NPC111,GCA_016849905.1,ASM1684990v1,PRJNA617094,SRR12347633,desert soil,"California, USA"
Brasilonema angustatum,HA4187-MV1,GCA_016849845.1,ASM1684984v1,PRJNA617095,SRR12347719,tropical soil,"Hawaii, USA"
Brasilonema octagenarum,HA4186-MV1,GCA_016850605.1,ASM1685060v1,PRJNA621669,SRR11678155,on wood in tropics,"Hawaii, USA"
Calothrix sp.,FI2-JRJ7,GCA_016849865.1,ASM1684986v1,PRJNA617096,SRR12347730,desert soil,"California, USA"
Chroococcus sp.,CMT-3BRIN-NPC107,GCA_016850845.1,ASM1685084v1,PRJNA653492,SRR12688413,desert soil,"California, USA"
Cyanomargarita calcarea,GSE-NOS-MK-12-04C,GCA_016850405.1,ASM1685040v1,PRJNA621661,SRR11676926,desert wet wall,"Utah, USA"
Cyanosarcina radialis,HA8281-LM2,GCA_016850825.1,ASM1685082v1,PRJNA653493,SRR12688412,cave rock wall,"Hawaii, USA"
Desmonostoc geniculatum,HA4340-LM1,GCA_016850195.1,ASM1685019v1,PRJNA621655,SRR11676647,cave rock wall,"Hawaii, USA"
Desmonostoc vinosum,HA7617-LM4,GCA_016850785.1,ASM1685078v1,PRJNA650882,SRR12951526,cave rock wall,"Hawaii, USA"
Drouetiella hepatica,UHER 2000/2452,GCA_016849925.1,ASM1684992v1,PRJNA617097,SRR12347860,rock surface,"Kosice, Slovakia"
Gloeocapsa sp.,UFS-A4-WI-NPMV-4B04,GCA_016849945.1,ASM1684994v1,PRJNA617098,SRR12347921,desert soil,"Utah, USA"
Goleter apudmare,HA4340-LM2,GCA_016850325.1,ASM1685032v1,PRJNA621659,SRR11676930,cave rock wall,"Hawaii, USA"
Hassallia sp.,WJT32-NPBG1,GCA_016849965.1,ASM1684996v1,PRJNA617099,SRR12347922,desert soil,"California, USA"
Hormoscilla sp.,CMT-3BRIN-NPC48,GCA_016850765.1,ASM1685076v1,PRJNA650881,SRR12951525,desert soil,"California, USA"
Iphinoe sp.,HA4291-MV1,GCA_016850005.1,ASM1685000v1,PRJNA617100,SRR12349226,tropical soil,"Hawaii, USA"
Kaiparowitsia implicata,GSE-PSE-MK54-09C,GCA_016850805.1,ASM1685080v1,PRJNA650883,SRR13242888,desert wet wall,"Utah, USA"
Kastovskya adunca,ATA6-11-RM4,GCA_016850685.1,ASM1685068v1,PRJNA621676,SRR11678224,desert soil,"Atacama, Chile"
