Strain,Habitat,crtE,crtBa,crtIa,cruP,crtL
Acaryochloris_marina_MBIC11017,aquatic,3,3,6,3,1
Aetokthonos_hydrillicola_B3-Florida,aquatic,2,1,8,1,0
Anabaena_cylindrica_PCC_7122,aquatic,2,1,9,2,0
Anabaena_sp._90_90,aquatic,2,2,4,2,0
Anabaena_sp._WA102_WA102,aquatic,2,2,5,2,0
Aphanocapsa_lilacina_HA4352-LM1,subaerial,2,3,5,2,0
Aphanocapsa_sp._GSE-SYN-MK-11-07L,subaerial,4,3,8,2,0
Aphanothece_saxicola_GSE-SYN-MK-01-06B,subaerial,2,1,2,0,1
Aphanothece_sp._CMT-3BRIN-NPC111,soil,2,1,5,1,0
Brasilonema_angustatum_HA4187-MV1,soil,2,1,10,2,0
Brasilonema_octagenarum_HA4186-MV1,subaerial,2,1,11,2,0
Calothrix_sp._336_3_336_3,aquatic,3,1,3,2,0
Calothrix_sp._FI2-JRJ7,soil,2,1,7,2,0
Calothrix_sp._PCC_6303,aquatic,2,1,4,2,0
Calothrix_sp._PCC_7507_PCC_7507,hydroterrestrial,2,1,6,2,0
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_ALOHA,aquatic,2,1,1,0,0
Chroococcidiopsis_thermalis_PCC_7203,soil,2,1,10,3,0
Chroococcus_sp._CMT-3BRIN-NPC107,soil,2,1,5,1,0
Crocosphaera_subtropica_ATCC_51142,hydroterrestrial,2,1,5,2,0
Cyanobacterium_aponinum_PCC_10605,aquatic,2,1,6,2,0
cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko,aquatic,0,0,0,0,0
Cyanobium_gracile_PCC_6307,aquatic,3,1,5,0,1
Cyanomargarita_calcarea_GSE-NOS-MK-12-04C,subaerial,2,3,6,2,0
Cyanosarcina_radialis_HA8281-LM2,subaerial,3,1,3,2,0
Cyanothece_sp._PCC_7425_PCC_7425,hydroterrestrial,3,3,6,2,0
Dactylococcopsis_salina_PCC_8305,aquatic,2,1,4,2,0
Desmonostoc_geniculatum_HA4340-LM1,subaerial,2,1,6,1,0
Desmonostoc_vinosum_HA7617-LM4,subaerial,3,1,11,2,0
Drouetiella_hepatica_UHER_2000_2452,subaerial,2,1,12,2,0
Gloeobacter_kilaueensis_JS1,subaerial,2,3,5,2,0
Gloeobacter_violaceus_PCC_7421,subaerial,1,1,0,0,0
Gloeocapsa_sp._PCC_7428_PCC_7428,aquatic,2,1,6,2,0
Gloeocapsa_sp._UFS-A4-WI-NPMV-4B04,soil,2,0,2,0,0
Gloeothece_citriformis_PCC_7424,hydroterrestrial,2,1,7,2,0
Gloeothece_verrucosa_PCC_7822,hydroterrestrial,2,1,6,2,0
Goleter_apudmare_HA4340-LM2,subaerial,2,1,7,2,0
Halothece_sp._PCC_7418_PCC_7418,aquatic,2,1,6,2,0
Hassallia_sp._WJT32-NPBG1,soil,3,1,6,2,0
Iphinoe_sp._HA4291-MV1,soil,3,1,7,3,0
Kaiparowitsia_implicata_GSE-PSE-MK54-09C,subaerial,2,1,7,1,0
Kastovskya_adunca_ATA6-11-RM4,soil,2,1,10,1,0
Komarekiella_atlantica_HA4396-MV6,hydroterrestrial,2,3,8,2,0
Leptolyngbya_sp._PCC_7376_,subaerial,2,1,6,2,0
Lyngbya_sp._HA4199-MV5,soil,2,2,5,2,0
Microcoleus_sp._PCC_7113_PCC_7113,soil,3,1,11,2,0
Microcoleus_vaginatus_WJT46-NPBG5,soil,2,1,10,2,0
Microcystis_aeruginosa_NIES-843,aquatic,2,1,4,2,0
Mojavia_pulchra_JT2-VF2,soil,2,1,6,2,0
Myxacorys_californica_WJT36-NPBG1,soil,2,2,3,2,0
Myxacorys_chilensis_ATA2-1-KO14,soil,2,2,2,2,0
Nodosilinea_sp._WJT8-NPBG4,soil,2,1,8,1,1
Nostoc_azollae_0708,aquatic,1,1,2,2,0
Nostoc_desertorum_CM1-VF14,,3,1,6,2,0
Nostoc_indistinguendum_CM1-VF10,,2,1,4,2,0
Nostoc_punctiforme_PCC_73102_ATCC_29133__PCC_73102,soil,2,1,5,2,0
Nostoc_sp._PCC_7107_PCC_7107,aquatic,2,1,6,2,0
Nostoc_sp._PCC_7524_PCC_7524,aquatic,2,2,6,2,0
Oscillatoria_acuminata_PCC_6304,soil,2,1,2,2,0
Oscillatoria_nigro-viridis_PCC_7112,soil,2,1,9,2,0
Oscillatoria_princeps_RMCB-10,aquatic,3,1,8,2,0
Oscillatoria_tanganyikae_FI6-MK23,,2,2,6,2,0
Pegethrix_bostrychoides_GSE-TBD4-15B,subaerial,2,3,8,2,0
Pelatocladus_maniniholoensis_HA4357-MV3,subaerial,3,1,3,2,0
Plectolyngbya_sp._WJT66-NPBG17,soil,2,2,6,2,0
Pleurocapsa_minor_GSE-CHR-MK-17-07R,subaerial,3,1,7,0,0
Pleurocapsa_minor_HA4230-MV1,subaerial,2,1,7,2,0
Pleurocapsa_sp._PCC_7327,aquatic,2,1,5,2,0
Prochlorococcus_marinus_str._AS9601,aquatic,2,1,2,0,2
Prochlorococcus_marinus_str._MIT_9215,aquatic,2,1,2,0,2
Prochlorococcus_marinus_str._MIT_9301,aquatic,2,1,2,0,2
Prochlorococcus_marinus_str._MIT_9312,aquatic,2,1,2,0,2
Prochlorococcus_marinus_str._MIT_9515,aquatic,2,1,2,0,2
Prochlorococcus_marinus_str._NATL1A,aquatic,2,1,5,0,2
Prochlorococcus_marinus_str._NATL2A,aquatic,2,1,5,0,2
Prochlorococcus_sp._MIT_0604_MIT_0604,aquatic,2,1,2,0,2
Prochlorococcus_sp._MIT_0801_MIT_0801,aquatic,2,1,2,0,2
Rippkaea_orientalis_PCC_8801,hydroterrestrial,2,1,5,2,0
Rippkaea_orientalis_PCC_8802,hydroterrestrial,2,1,5,2,0
Rivularia_sp._PCC_7116_PCC_7116,aquatic,2,1,9,2,0
Scytolyngbya_sp._HA4215-MV1,aquatic,2,1,3,1,0
Scytonema_hyalinum_WJT4-NPBG1,soil,2,1,6,2,0
Scytonematopsis_contorta_HA4267-MV1,hydroterrestrial,2,1,9,3,0
Spirirestis_raphaelensis_WJT71-NPBG6,soil,2,1,6,2,0
Stanieria_cyanosphaera_PCC_7437,hydroterrestrial,2,1,5,2,0
Stenomitos_rutilans_HA7619-LM2,subaerial,2,2,2,2,0
Symplocastrum_torsivum_CPER-KK1,soil,2,1,8,2,0
