Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
Aetokthonos_hydrillicola_B3-Florida	Cyanobacteria (1)	129	472	368	5	461	5	1	0	0	99.18	1.90	0.00
Aphanocapsa_lilacina_HA4352-LM1	Cyanobacteria (1)	129	472	368	24	439	9	0	0	0	93.89	1.99	0.00
Aphanocapsa_sp._GSE-SYN-MK-11-07L	Cyanobacteria (1)	129	472	368	17	451	4	0	0	0	95.92	0.95	0.00
Aphanothece_saxicola_GSE-SYN-MK-01-06B	Cyanobacteria (1)	129	472	368	2	468	2	0	0	0	99.46	0.41	50.00
Aphanothece_sp._CMT-3BRIN-NPC111	Cyanobacteria (1)	129	472	368	28	443	1	0	0	0	94.70	0.14	0.00
Brasilonema_angustatum_HA4187-MV1	Cyanobacteria (1)	129	472	368	4	463	5	0	0	0	98.91	1.22	0.00
Brasilonema_octagenarum_HA4186-MV1	Cyanobacteria (1)	129	472	368	4	456	12	0	0	0	98.91	2.45	8.33
Calothrix_sp._FI2-JRJ7	Cyanobacteria (1)	129	472	368	3	464	5	0	0	0	99.41	0.86	0.00
Chroococcus_sp._CMT-3BRIN-NPC107	Cyanobacteria (1)	129	472	368	32	440	0	0	0	0	93.21	0.00	0.00
Cyanomargarita_calcarea_GSE-NOS-MK-12-04C	Cyanobacteria (1)	129	472	368	3	463	6	0	0	0	99.46	1.15	0.00
Cyanosarcina_radialis_HA8281-LM2	Cyanobacteria (1)	129	472	368	2	461	9	0	0	0	99.77	2.17	0.00
Desmonostoc_geniculatum_HA4340-LM1	Cyanobacteria (1)	129	472	368	14	458	0	0	0	0	96.20	0.00	0.00
Desmonostoc_vinosum_HA7617-LM4	Cyanobacteria (1)	129	472	368	13	456	3	0	0	0	97.28	0.82	0.00
Drouetiella_hepatica_UHER_2000_2452	Cyanobacteria (1)	129	472	368	3	465	4	0	0	0	99.18	0.43	0.00
Gloeocapsa_sp._UFS-A4-WI-NPMV-4B04	Cyanobacteria (1)	129	472	368	58	405	9	0	0	0	85.60	1.77	0.00
Goleter_apudmare_HA4340-LM2	Cyanobacteria (1)	129	472	368	7	465	0	0	0	0	98.10	0.00	0.00
Hassallia_sp._WJT32-NPBG1	Cyanobacteria (1)	129	472	368	22	439	11	0	0	0	96.47	2.13	0.00
Iphinoe_sp._HA4291-MV1	Cyanobacteria (1)	129	472	368	10	452	10	0	0	0	97.28	2.04	0.00
Kaiparowitsia_implicata_GSE-PSE-MK54-09C	Cyanobacteria (1)	129	472	368	5	443	19	5	0	0	98.85	6.20	2.94
Kastovskya_adunca_ATA6-11-RM4	Cyanobacteria (1)	129	472	368	1	471	0	0	0	0	99.73	0.00	0.00
Komarekiella_atlantica_HA4396-MV6	Cyanobacteria (1)	129	472	368	5	465	2	0	0	0	99.18	0.28	50.00
Lyngbya_sp._HA4199-MV5	Cyanobacteria (1)	129	472	368	5	465	2	0	0	0	98.64	0.54	0.00
Microcoleus_vaginatus_WJT46-NPBG5	Cyanobacteria (1)	129	472	368	1	468	3	0	0	0	99.73	0.45	0.00
Mojavia_pulchra_JT2-VF2	Cyanobacteria (1)	129	472	368	5	462	5	0	0	0	99.18	0.77	0.00
Myxacorys_californica_WJT36-NPBG1	Cyanobacteria (1)	129	472	368	4	467	1	0	0	0	98.91	0.14	0.00
Myxacorys_chilensis_ATA2-1-KO14	Cyanobacteria (1)	129	472	368	14	454	4	0	0	0	96.33	0.82	0.00
Nodosilinea_sp._WJT8-NPBG4	Cyanobacteria (1)	129	472	368	3	462	6	1	0	0	99.18	1.10	33.33
Nostoc_desertorum_CM1-VF14	Cyanobacteria (1)	129	472	368	1	468	3	0	0	0	99.73	0.82	0.00
Nostoc_indistinguendum_CM1-VF10	Cyanobacteria (1)	129	472	368	6	461	5	0	0	0	98.37	0.68	20.00
Oscillatoria_princeps_RMCB-10	Cyanobacteria (1)	129	472	368	6	462	4	0	0	0	98.37	0.72	0.00
Oscillatoria_tanganyikae_FI6-MK23	Cyanobacteria (1)	129	472	368	13	458	1	0	0	0	97.64	0.27	0.00
Pegethrix_bostrychoides_GSE-TBD4-15B	Cyanobacteria (1)	129	472	368	11	458	3	0	0	0	97.55	0.45	0.00
Pelatocladus_maniniholoensis_HA4357-MV3	Cyanobacteria (1)	129	472	368	13	451	8	0	0	0	96.47	1.63	12.50
Plectolyngbya_sp._WJT66-NPBG17	Cyanobacteria (1)	129	472	368	10	458	2	2	0	0	97.64	1.63	0.00
Pleurocapsa_minor_GSE-CHR-MK-17-07R	Cyanobacteria (1)	129	472	368	159	285	26	1	1	0	61.71	7.16	0.00
Pleurocapsa_minor_HA4230-MV1	Cyanobacteria (1)	129	472	368	5	462	4	1	0	0	98.64	1.45	0.00
Scytolyngbya_sp._HA4215-MV1	Cyanobacteria (1)	129	472	368	3	466	3	0	0	0	99.18	0.82	0.00
Scytonema_hyalinum_WJT4-NPBG1	Cyanobacteria (1)	129	472	368	16	449	7	0	0	0	97.46	1.13	0.00
Scytonematopsis_contorta_HA4267-MV1	Cyanobacteria (1)	129	472	368	3	462	7	0	0	0	99.18	1.27	0.00
Spirirestis_raphaelensis_WJT71-NPBG6	Cyanobacteria (1)	129	472	368	11	455	6	0	0	0	98.10	1.13	0.00
Stenomitos_rutilans_HA7619-LM2	Cyanobacteria (1)	129	472	368	14	454	4	0	0	0	96.88	0.91	0.00
Symplocastrum_torsivum_CPER-KK1	Cyanobacteria (1)	129	472	368	4	461	7	0	0	0	98.91	1.27	0.00
Tildeniella_nuda_ZEHNDER_1965_U140	Cyanobacteria (1)	129	472	368	11	458	3	0	0	0	97.74	0.82	0.00
Tildeniella_torsiva_UHER_1998_13D	Cyanobacteria (1)	129	472	368	1	463	8	0	0	0	99.73	1.36	12.50
Timaviella_obliquedivisa_GSE-PSE-MK23-08B	Cyanobacteria (1)	129	472	368	4	465	3	0	0	0	98.91	0.32	0.00
Tolypothrix_brevis_GSE-NOS-MK-07-07A	Cyanobacteria (1)	129	472	368	5	463	4	0	0	0	99.28	0.54	0.00
Tolypothrix_carrinoi_HA7290-LM1	Cyanobacteria (1)	129	472	368	18	444	10	0	0	0	96.01	2.04	0.00
Trichocoleus_desertorum_ATA4-8-CV12	Cyanobacteria (1)	129	472	368	1	465	6	0	0	0	99.73	1.09	0.00
Trichormus_sp._ATA11-4-KO1	Cyanobacteria (1)	129	472	368	4	465	3	0	0	0	99.15	0.54	0.00
